Food,Grams,Protein,Fat,Carbs,Healthiness_Score
Cows' milk,100,3.278688524590164,4.098360655737705,4.918032786885246,1.6393442622950825
Milk skim,100,3.6585365853658534,0.0,5.284552845528456,4.0650406504065035
Buttermilk,100,3.6585365853658534,2.0325203252032518,5.284552845528456,3.0487804878048776
"Evaporated, undiluted",100,6.349206349206349,7.936507936507936,9.523809523809524,3.1746031746031744
Fortified milk,100,6.272022551092318,2.9598308668076108,8.386187455954898,5.320648343904157
Powdered milk,100,26.21359223300971,27.184466019417474,37.86407766990291,15.533980582524274
"skim, instant",100,35.294117647058826,0.0,49.411764705882355,38.82352941176471
"skim, non-instant",100,35.294117647058826,0.0,49.411764705882355,38.82352941176471
Goats' milk,100,3.278688524590164,4.098360655737705,4.508196721311475,1.5368852459016398
(1/2 cup ice cream),100,4.444444444444445,4.444444444444445,12.962962962962962,4.351851851851852
Cocoa,100,3.1746031746031744,4.365079365079365,10.317460317460316,2.777777777777778
skim. milk,100,7.199999999999999,1.6,5.2,5.8999999999999995
(cornstarch),100,3.6290322580645165,4.032258064516129,16.129032258064516,4.737903225806452
Custard,100,5.241935483870968,5.64516129032258,11.29032258064516,3.931451612903226
Ice cream,100,3.1914893617021276,9.574468085106384,15.425531914893616,1.4627659574468082
Ice milk,100,4.736842105263158,5.263157894736842,16.842105263157894,5.131578947368421
Cream or half-and-half,100,3.3333333333333335,12.5,4.166666666666666,-2.7083333333333335
or whipping,100,1.680672268907563,36.97478991596639,2.5210084033613445,-16.596638655462186
Cheese,100,13.333333333333334,4.888888888888889,2.666666666666667,8.222222222222221
uncreamed,100,16.88888888888889,0.0,2.666666666666667,13.333333333333334
Cheddar,100,23.52941176470588,35.294117647058826,0.0,-3.552713678800501e-15
"Cheddar, grated cup",100,25.0,33.92857142857143,1.7857142857142856,2.2321428571428577
Cream cheese,100,7.142857142857142,39.285714285714285,3.571428571428571,-13.392857142857142
Processed cheese,100,25.0,32.142857142857146,0.0,2.678571428571427
Roquefort type,100,21.428571428571427,32.142857142857146,0.0,-3.552713678800501e-15
Swiss,100,25.0,28.57142857142857,0.0,4.464285714285715
Eggs raw,100,12.0,12.0,0.0,3.0
Eggs Scrambled or fried,100,10.15625,12.5,0.78125,1.5625
Yolks,100,17.647058823529413,29.411764705882355,0.0,-1.4705882352941178
Butter,100,0.0,78.57142857142857,0.0,-39.285714285714285
Butter,100,101.78571428571428,102.67857142857142,105.35714285714286,51.33928571428571
Hydrogenated cooking fat,100,0.0,100.0,0.0,-50.0
Lard,100,0.0,100.0,0.0,-50.0
Margarine,100,0.0,81.25,0.0,-40.625
"Margarine, 2 pat or",100,0.0,78.57142857142857,0.0,-39.285714285714285
Mayonnaise,100,0.0,80.0,0.0,-40.0
Corn oil,100,0.0,100.0,0.0,-50.0
Olive oil,100,0.0,100.0,0.0,-50.0
Safflower seed oil,100,0.0,100.0,0.0,-50.0
French dressing,100,0.0,40.0,13.333333333333334,-16.666666666666668
Thousand Island sauce,100,0.0,53.333333333333336,6.666666666666667,-25.0
Salt pork,100,5.0,91.66666666666666,0.0,-42.08333333333333
Bacon,100,25.0,50.0,6.25,-4.6875
